Job Title,Company Name,Location,Sector,Processed_JD
Product Manager,Data Corp,Kolkata,IT,Develop and implement marketing strategies.
Marketing Specialist,Design Studio,Bangalore,Retail,Responsible for developing and maintaining software applications.
Software Engineer,Tech Solutions,Ahmedabad,Healthcare,Create visual concepts to communicate ideas.
Graphic Designer,Design Studio,Hyderabad,IT,Manage product development from ideation to launch.
Software Engineer,Market Experts,Hyderabad,Healthcare,Analyze data to provide business insights.
Software Engineer,Data Corp,Chennai,Retail,Develop and implement marketing strategies.
Graphic Designer,Market Experts,Lucknow,Finance,Create visual concepts to communicate ideas.
Data Scientist,Tech Solutions,Hyderabad,Finance,Manage product development from ideation to launch.
Graphic Designer,Market Experts,Kolkata,IT,Create visual concepts to communicate ideas.
Marketing Specialist,Innovate Ltd.,Kolkata,IT,Manage product development from ideation to launch.
Graphic Designer,Market Experts,Lucknow,IT,Manage product development from ideation to launch.
Data Scientist,Innovate Ltd.,Kolkata,Education,Develop and implement marketing strategies.
Graphic Designer,Data Corp,Ahmedabad,IT,Create visual concepts to communicate ideas.
Product Manager,Data Corp,Mumbai,Healthcare,Develop and implement marketing strategies.
Data Scientist,Market Experts,Delhi,Finance,Manage product development from ideation to launch.
Graphic Designer,Design Studio,Hyderabad,Education,Analyze data to provide business insights.
Data Scientist,Tech Solutions,Bangalore,Education,Responsible for developing and maintaining software applications.
Product Manager,Tech Solutions,Bangalore,Education,Manage product development from ideation to launch.
Software Engineer,Data Corp,Lucknow,Education,Analyze data to provide business insights.
Product Manager,Data Corp,Delhi,Education,Manage product development from ideation to launch.
Graphic Designer,Design Studio,Pune,Finance,Develop and implement marketing strategies.
Graphic Designer,Tech Solutions,Jaipur,IT,Responsible for developing and maintaining software applications.
Marketing Specialist,Design Studio,Chennai,IT,Create visual concepts to communicate ideas.
Marketing Specialist,Data Corp,Kolkata,Retail,Analyze data to provide business insights.
Data Scientist,Design Studio,Kolkata,IT,Create visual concepts to communicate ideas.
Marketing Specialist,Tech Solutions,Ahmedabad,Education,Responsible for developing and maintaining software applications.
Software Engineer,Market Experts,Kolkata,IT,Develop and implement marketing strategies.
Marketing Specialist,Market Experts,Kolkata,Healthcare,Create visual concepts to communicate ideas.
Graphic Designer,Market Experts,Kolkata,Retail,Create visual concepts to communicate ideas.
Software Engineer,Innovate Ltd.,Chennai,Education,Develop and implement marketing strategies.
Product Manager,Market Experts,Ahmedabad,IT,Manage product development from ideation to launch.
Graphic Designer,Innovate Ltd.,Hyderabad,Retail,Develop and implement marketing strategies.
Data Scientist,Design Studio,Chennai,Finance,Create visual concepts to communicate ideas.
Graphic Designer,Tech Solutions,Mumbai,IT,Develop and implement marketing strategies.
Data Scientist,Innovate Ltd.,Ahmedabad,Finance,Analyze data to provide business insights.
Product Manager,Market Experts,Jaipur,Retail,Analyze data to provide business insights.
Software Engineer,Data Corp,Delhi,Healthcare,Create visual concepts to communicate ideas.
Marketing Specialist,Data Corp,Chennai,Healthcare,Develop and implement marketing strategies.
Software Engineer,Data Corp,Ahmedabad,IT,Develop and implement marketing strategies.
Product Manager,Market Experts,Chennai,Education,Develop and implement marketing strategies.
Marketing Specialist,Design Studio,Mumbai,Healthcare,Analyze data to provide business insights.
Software Engineer,Innovate Ltd.,Hyderabad,Healthcare,Analyze data to provide business insights.
Software Engineer,Tech Solutions,Pune,Retail,Analyze data to provide business insights.
Data Scientist,Innovate Ltd.,Mumbai,Retail,Analyze data to provide business insights.
Data Scientist,Design Studio,Mumbai,Healthcare,Analyze data to provide business insights.
Software Engineer,Data Corp,Delhi,Education,Analyze data to provide business insights.
Data Scientist,Innovate Ltd.,Lucknow,Healthcare,Responsible for developing and maintaining software applications.
Marketing Specialist,Tech Solutions,Chennai,Healthcare,Manage product development from ideation to launch.
Product Manager,Market Experts,Pune,Retail,Manage product development from ideation to launch.
Software Engineer,Tech Solutions,Jaipur,IT,Develop and implement marketing strategies.
Marketing Specialist,Market Experts,Delhi,Retail,Create visual concepts to communicate ideas.
Software Engineer,Market Experts,Ahmedabad,Healthcare,Responsible for developing and maintaining software applications.
Marketing Specialist,Data Corp,Mumbai,IT,Responsible for developing and maintaining software applications.
Graphic Designer,Tech Solutions,Chennai,Education,Create visual concepts to communicate ideas.
Graphic Designer,Data Corp,Lucknow,Finance,Manage product development from ideation to launch.
Product Manager,Innovate Ltd.,Jaipur,IT,Analyze data to provide business insights.
Software Engineer,Tech Solutions,Mumbai,Healthcare,Develop and implement marketing strategies.
Software Engineer,Tech Solutions,Lucknow,Education,Create visual concepts to communicate ideas.
Graphic Designer,Data Corp,Delhi,Education,Responsible for developing and maintaining software applications.
Software Engineer,Design Studio,Kolkata,Retail,Responsible for developing and maintaining software applications.
Marketing Specialist,Design Studio,Ahmedabad,Healthcare,Develop and implement marketing strategies.
Product Manager,Innovate Ltd.,Lucknow,IT,Create visual concepts to communicate ideas.
Graphic Designer,Innovate Ltd.,Delhi,Finance,Manage product development from ideation to launch.
Graphic Designer,Market Experts,Jaipur,Retail,Develop and implement marketing strategies.
Software Engineer,Innovate Ltd.,Lucknow,Retail,Analyze data to provide business insights.
Product Manager,Innovate Ltd.,Lucknow,IT,Responsible for developing and maintaining software applications.
Data Scientist,Data Corp,Chennai,IT,Responsible for developing and maintaining software applications.
Graphic Designer,Data Corp,Bangalore,Retail,Analyze data to provide business insights.
Data Scientist,Design Studio,Lucknow,IT,Responsible for developing and maintaining software applications.
Graphic Designer,Market Experts,Pune,IT,Manage product development from ideation to launch.
Product Manager,Design Studio,Bangalore,Finance,Manage product development from ideation to launch.
Product Manager,Design Studio,Lucknow,IT,Manage product development from ideation to launch.
Marketing Specialist,Market Experts,Ahmedabad,Retail,Develop and implement marketing strategies.
Graphic Designer,Tech Solutions,Hyderabad,Retail,Responsible for developing and maintaining software applications.
Marketing Specialist,Design Studio,Hyderabad,Retail,Create visual concepts to communicate ideas.
Software Engineer,Design Studio,Kolkata,Retail,Develop and implement marketing strategies.
Product Manager,Tech Solutions,Ahmedabad,Healthcare,Manage product development from ideation to launch.
Data Scientist,Market Experts,Jaipur,Education,Responsible for developing and maintaining software applications.
